ID,OTU,Taxa
Otu01,Otu01,Arthrinium_unclassified
Otu02,Otu02,Stemphylium_unclassified
Otu03,Otu03,Pseudoplectania_episphagnum
Otu04,Otu04,Melanconis_italica
Otu05,Otu05,Pleosporales_unclassified
Otu06,Otu06,Pyronemataceae_sp
Otu07,Otu07,Mycosphaerellaceae_unclassified
Otu08,Otu08,Penicillium_unclassified
Otu10,Otu10,Alternaria_unclassified
Otu11,Otu11,Pleosporales_unclassified
Otu12,Otu12,Sporormiella_intermedia
Otu13,Otu13,Trichophaea_hybrida
Otu14,Otu14,Pseudoplectania_nigrella
Otu15,Otu15,Fomitopsis_pinicola
Otu16,Otu16,Tricharina_praecox
Otu18,Otu18,Mycosphaerella_tassiana
Otu20,Otu20,Pezizomycetes_sp
Otu22,Otu22,Coniochaeta_unclassified
Otu23,Otu23,Sarcosomataceae_unclassified
Otu24,Otu24,Wilcoxina_rehmii
Otu25,Otu25,Xylariales_unclassified
Otu26,Otu26,Sporormiaceae_unclassified
Otu27,Otu27,Chaetomium_unclassified
Otu29,Otu29,Alternaria_metachromatica
Otu30,Otu30,Pseudovalsaria_ferruginea
Otu31,Otu31,Pseudoplectania_nigrella
Otu32,Otu32,Tricharina_unclassified
Otu33,Otu33,Dothiora_prunorum
Otu34,Otu34,Melanconis_italica
Otu36,Otu36,Nodulosphaeria_scabiosae
Otu37,Otu37,Gyromitra_esculenta
Otu38,Otu38,Mycosphaerellaceae_unclassified
Otu39,Otu39,Capnodiales_unclassified
Otu40,Otu40,Trichodelitschia_bisporula
Otu41,Otu41,Capnodiales_unclassified
Otu42,Otu42,Ramularia_unclassified
Otu45,Otu45,Pseudoplectania_nigrella
Otu46,Otu46,Gnomoniaceae_sp
Otu47,Otu47,Chaetomium_unclassified
Otu48,Otu48,Pseudoplectania_nigrella
