Group,Species,Harvest,Type,Tree,Site,Site_Cat
A1113S,ALVI,September,deciduous,1,11,PP
A1122S,ALVI,September,deciduous,2,11,PP
A1123S,ALVI,September,deciduous,2,11,PP
A1131S,ALVI,September,deciduous,3,11,PP
A1132S,ALVI,September,deciduous,3,11,PP
A1133S,ALVI,September,deciduous,3,11,PP
A2211S,ALVI,September,deciduous,1,22,PP
A2212S,ALVI,September,deciduous,1,22,PP
A2221S,ALVI,September,deciduous,2,22,PP
A2222S,ALVI,September,deciduous,2,22,PP
A2223S,ALVI,September,deciduous,2,22,PP
A2312S,ALVI,September,deciduous,1,23,PP
A2612J,ALVI,July,deciduous,1,26,PP
A2931A,ALVI,August,deciduous,3,29,PP
A3212J,ALVI,July,deciduous,1,32,PP
A4011J,ALVI,July,deciduous,1,40,PP
A4011S,ALVI,September,deciduous,1,40,PP
A4012J,ALVI,July,deciduous,1,40,PP
A4012S,ALVI,September,deciduous,1,40,PP
A4021A,ALVI,August,deciduous,2,40,PP
A4023J,ALVI,July,deciduous,2,40,PP
A6121S,ALVI,September,deciduous,2,61,PP
A6211A,ALVI,August,deciduous,1,62,PP
A6211S,ALVI,September,deciduous,1,62,PP
A6212J,ALVI,July,deciduous,1,62,PP
A6212S,ALVI,September,deciduous,1,62,PP
A6213S,ALVI,September,deciduous,1,62,PP
A6423S,ALVI,September,deciduous,2,64,PP
A6431S,ALVI,September,deciduous,3,64,PP
A6432S,ALVI,September,deciduous,3,64,PP
A6433J,ALVI,July,deciduous,3,64,PP
A6511S,ALVI,September,deciduous,1,65,PP
A6512S,ALVI,September,deciduous,1,65,PP
A6531S,ALVI,September,deciduous,3,65,PP
A711S,ALVI,September,deciduous,1,7,PP
A712S,ALVI,September,deciduous,1,7,PP
A722S,ALVI,September,deciduous,2,7,PP
A7233S,ALVI,September,deciduous,2,7,PP
A723S,ALVI,September,deciduous,2,7,PP
A731S,ALVI,September,deciduous,3,7,PP
A732S,ALVI,September,deciduous,3,7,PP
A733S,ALVI,September,deciduous,3,7,PP
C2913J,POTR,July,deciduous,1,29,PP
C331A,POTR,August,deciduous,3,3,PP
C4023S,POTR,September,deciduous,2,40,PP
C511A,POTR,August,deciduous,1,5,PP
C512A,POTR,August,deciduous,1,5,PP
C6111S,POTR,September,deciduous,1,61,PP
C6112S,POTR,September,deciduous,1,61,PP
C6113J,POTR,July,deciduous,1,61,PP
C6121S,POTR,September,deciduous,2,61,PP
C6213S,POTR,September,deciduous,1,62,PP
D1123A,PSME,August,evergreen,2,11,PP
D311J,PSME,July,evergreen,1,3,PP
D6013A,PSME,August,evergreen,1,60,PP
D6122A,PSME,August,evergreen,2,61,PP
D6123A,PSME,August,evergreen,2,61,PP
D6133A,PSME,August,evergreen,3,61,PP
D6133S,PSME,September,evergreen,3,61,PP
D6232A,PSME,August,evergreen,3,62,PP
D6312S,PSME,September,evergreen,1,63,PP
D6413S,PSME,September,evergreen,1,64,PP
D6431S,PSME,September,evergreen,3,64,PP
D6513J,PSME,July,evergreen,1,65,PP
D6521S,PSME,September,evergreen,2,65,PP
D6522A,PSME,August,evergreen,2,65,PP
N6321S,ABPR,September,evergreen,2,63,PP
N6531S,ABPR,September,evergreen,3,65,PP
S1012J,SASI,July,deciduous,1,10,PP
S1013J,SASI,July,deciduous,1,10,PP
S1032J,SASI,July,deciduous,3,10,PP
S1713J,SASI,July,deciduous,1,17,PP
S1713S,SASI,September,deciduous,1,17,PP
S1722A,SASI,August,deciduous,2,17,PP
S2313J,SASI,July,deciduous,1,23,PP
S2631S,SASI,September,deciduous,3,26,PP
S2913J,SASI,July,deciduous,1,29,PP
S2921A,SASI,August,deciduous,2,29,PP
S3023J,SASI,July,deciduous,2,30,PP
S3033J,SASI,July,deciduous,3,30,PP
S311J,SASI,July,deciduous,1,3,PP
S3212J,SASI,July,deciduous,1,32,PP
S3221J,SASI,July,deciduous,2,32,PP
S331A,SASI,August,deciduous,3,3,PP
S332A,SASI,August,deciduous,3,3,PP
S333A,SASI,August,deciduous,3,3,PP
S4122J,SASI,July,deciduous,2,41,PP
S522A,SASI,August,deciduous,2,5,PP
S523A,SASI,August,deciduous,2,5,PP
S531J,SASI,July,deciduous,3,5,PP
S6012A,SASI,August,deciduous,1,60,PP
S6031S,SASI,September,deciduous,3,60,PP
S6221A,SASI,August,deciduous,2,62,PP
S6222A,SASI,August,deciduous,2,62,PP
S6223A,SASI,August,deciduous,2,62,PP
S6231A,SASI,August,deciduous,3,62,PP
S6323J,SASI,July,deciduous,2,63,PP
S6323S,SASI,September,deciduous,2,63,PP
S6421J,SASI,July,deciduous,2,64,PP
S6431A,SASI,August,deciduous,3,64,PP
S6432A,SASI,August,deciduous,3,64,PP
S6433J,SASI,July,deciduous,3,64,PP
S6511J,SASI,July,deciduous,1,65,PP
S6512J,SASI,July,deciduous,1,65,PP
S711A,SASI,August,deciduous,1,7,PP
S713S,SASI,September,deciduous,1,7,PP
W1713J,TSHE,July,evergreen,1,17,PP
W1731S,TSHE,September,evergreen,3,17,PP
W4011S,TSHE,September,evergreen,1,40,PP
W6113A,TSHE,August,evergreen,1,61,PP
W6133A,TSHE,August,evergreen,3,61,PP
W6311J,TSHE,July,evergreen,1,63,PP
W6311S,TSHE,September,evergreen,1,63,PP
